base_process_variant,flip_p,subsample_step,k,process,reconstructor,representation,logloss_mean,logloss_std,n_states_mean,n_states_std,C_mu_empirical_mean,C_mu_empirical_std,unifilarity_score_mean,unifilarity_score_std,branch_entropy_mean,branch_entropy_std
even_process,0.02,2,4,even_process_flip0.02_sub2,one_step_greedy_merge,last_4,0.48029356747716284,0.0024224135956527203,6.4,0.5477225575051662,1.4504918713574528,0.06739980966880896,0.897593599599975,0.03557616828580254,0.2720380490504034,0.0724394519835696
even_process,0.02,2,5,even_process_flip0.02_sub2,one_step_greedy_merge,last_5,0.4802154036791843,0.0025302705970053374,9.2,0.8366600265340753,1.6613078307649392,0.03340107493826352,0.8793484511338351,0.019340008163995562,0.38824091229603197,0.07438535968358938
even_process,0.02,2,6,even_process_flip0.02_sub2,one_step_greedy_merge,last_6,0.4820764359359515,0.0033233415154988745,11.6,0.5477225575051661,1.7874814542968103,0.11883036325163812,0.8106409310814696,0.06630512154758789,0.6246104191243103,0.1918828713956701
even_process,0.02,2,7,even_process_flip0.02_sub2,one_step_greedy_merge,last_7,0.48385282751433695,0.004729801008597972,15.0,0.9999999999999998,2.0071203293840476,0.0746147610096469,0.7207745774577458,0.044126516310114924,0.9328518057014155,0.10675428533786313
even_process,0.02,2,8,even_process_flip0.02_sub2,one_step_greedy_merge,last_8,0.48900293472318035,0.007561547755573729,19.4,0.5477225575051662,2.0504469285145626,0.05621899401489694,0.6787688614969184,0.025273534980175184,1.1894035069632367,0.060555946446796134
even_process,0.02,4,1,even_process_flip0.02_sub4,one_step_greedy_merge,last_1,0.48544345249325127,0.004202981255861006,2.0,0.0,0.48545779411566753,0.001352474838877826,1.0,0.0,0.0,0.0
even_process,0.02,4,2,even_process_flip0.02_sub4,one_step_greedy_merge,last_2,0.4854401989369129,0.00419798151730184,2.2,0.4472135954999579,0.5017259581157114,0.03697952383290443,1.0,0.0,0.0,0.0
even_process,0.02,4,3,even_process_flip0.02_sub4,one_step_greedy_merge,last_3,0.4855732618192851,0.004203011218333552,3.2,0.8366600265340756,0.6556574952833746,0.1845650146831214,0.9763826382638264,0.022343616928579845,0.08598349472948334,0.07656880569837486
even_process,0.02,4,4,even_process_flip0.02_sub4,one_step_greedy_merge,last_4,0.48562267946895255,0.004025154821107225,4.2,0.8366600265340756,0.8958033618306386,0.20534142375891348,0.9372871608951119,0.06512429012682447,0.24375011355263615,0.1857835844537893
even_process,0.02,4,5,even_process_flip0.02_sub4,one_step_greedy_merge,last_5,0.4875641565351506,0.002333806202189066,8.0,0.0,1.0062105578498637,0.09722968517587165,0.8505275791368705,0.07340067004998536,0.5621112661097529,0.19008687436898167
