obs_std,seed,method,method_param,n_states,ari_slow,ari_fast,ari_joint,gaussian_logloss,elapsed_s
0.15,3,history_kmeans,9.0,9,0.0021868858674019354,0.010970667248537954,0.008149038411669536,0.2598159417271816,1.5256749475374818
0.15,3,history_kmeans,12.0,12,0.0031231855816726568,0.016943241805805732,0.01352481928768527,0.2598159417271816,1.4466291572898626
0.15,3,history_kmeans,18.0,18,0.0027644143267684406,0.008266321726979007,0.008542101157339117,0.2598159417271816,2.4214772740378976
0.15,4,kalman_predictive_single,0.25,1185,0.025102898546075073,0.0005293392079233172,0.00956144100845095,0.2715565649798651,1.0729410983622074
0.15,4,kalman_predictive_single,0.35,490,0.003664671742704832,0.00010798569140097235,0.0012144747346953609,0.2715565649798651,1.0935599468648434
0.15,4,kalman_predictive_single,0.5,160,-0.0006237097787092809,-2.3214152218313344e-05,-0.00010588225348286605,0.2715565649798651,1.1053516380488873
0.15,4,kalman_predictive_kmeans,3.0,3,0.4039864416932907,0.0003837590286417484,0.15300210806338643,0.2715565649798651,0.030286177061498165
0.15,4,kalman_predictive_kmeans,6.0,6,0.30955904645193727,-0.00014316361997275884,0.16042486794272479,0.2715565649798651,0.122740906663239
0.15,4,kalman_predictive_kmeans,9.0,9,0.21554927110145763,0.00020401703367421722,0.13222835849518938,0.2715565649798651,0.5388042721897364
0.15,4,kalman_predictive_kmeans,12.0,12,0.16611591629203057,-0.0003667963382604596,0.11144273493526201,0.2715565649798651,0.4167278353124857
0.15,4,kalman_predictive_kmeans,18.0,18,0.1176623959951844,2.07129201473625e-05,0.08821123049688746,0.2715565649798651,0.6210086438804865
0.15,4,obs_pca_kmeans,3.0,3,0.00040276686558311315,0.002698237679943548,0.0015166009392537196,0.2715565649798651,0.03471963573247194
0.15,4,obs_pca_kmeans,6.0,6,0.00010883709201068076,0.21674422175051822,0.11612424113080827,0.2715565649798651,0.07110684085637331
0.15,4,obs_pca_kmeans,9.0,9,0.0005165518133705218,0.15355611887072573,0.09335979747362909,0.2715565649798651,0.09216053131967783
0.15,4,obs_pca_kmeans,12.0,12,0.0004384785506877899,0.11454759370755438,0.07589534435878766,0.2715565649798651,0.335469719953835
0.15,4,obs_pca_kmeans,18.0,18,0.00037764480584586443,0.1111376122629596,0.08258867634429445,0.2715565649798651,0.3517312817275524
0.15,4,history_kmeans,3.0,3,0.00019608728234958044,-0.00022434111114067755,0.00020634413687908228,0.2715565649798651,0.24851813074201345
0.15,4,history_kmeans,6.0,6,0.0007269196419852555,0.010348685740474968,0.006254488404299818,0.2715565649798651,0.8416112372651696
0.15,4,history_kmeans,9.0,9,0.0008959505667999742,0.01753454950557348,0.011589266359720213,0.2715565649798651,1.231814892962575
0.15,4,history_kmeans,12.0,12,0.0013651588961905265,0.018795267385563287,0.013976474641148715,0.2715565649798651,1.9994987370446324
0.15,4,history_kmeans,18.0,18,0.01101355894033894,0.02080014449232424,0.02496673113691755,0.2715565649798651,1.1964164767414331
0.25,0,kalman_predictive_single,0.25,1653,0.033430776276588,3.320541115553143e-05,0.01737181826751925,3.2190189740466493,1.1158485673367977
0.25,0,kalman_predictive_single,0.35,664,0.008635513186445324,-9.326232834295721e-05,0.0028071644289924653,3.2190189740466493,1.0898932665586472
0.25,0,kalman_predictive_single,0.5,233,-0.00032355857292826526,4.097943021816933e-05,-8.935404003989124e-05,3.2190189740466493,1.120547783561051
0.25,0,kalman_predictive_kmeans,3.0,3,0.4294841371624604,3.1996943677903093e-06,0.167134968080617,3.2190189740466493,0.036184909753501415
0.25,0,kalman_predictive_kmeans,6.0,6,0.23005181655927426,0.0002862030320329281,0.1229303860751912,3.2190189740466493,0.08236835710704327
0.25,0,kalman_predictive_kmeans,9.0,9,0.19281110252690822,0.0004831456271286137,0.11961672337815556,3.2190189740466493,0.17449449747800827
0.25,0,kalman_predictive_kmeans,12.0,12,0.1445167952551565,0.0007484245099356573,0.09909822697327925,3.2190189740466493,0.46358753461390734
0.25,0,kalman_predictive_kmeans,18.0,18,0.10177958028467367,0.00015951389230732735,0.07668745014632777,3.2190189740466493,0.7335040774196386
0.25,0,obs_pca_kmeans,3.0,3,-0.0002793931774809478,0.001042191948481465,0.000302769378575851,3.2190189740466493,0.029703320935368538
0.25,0,obs_pca_kmeans,6.0,6,-0.00027716054161109715,0.17997251961900607,0.09519265603015577,3.2190189740466493,0.11751706432551146
